Name,Emmy,Grammy,Oscar,Tony,EGOT completed,Year span,Age at completion,Category(s)
Richard Rodgers,1962,1960,1946,1950,1962,16,"59 years, 10 months","Composer, producer"
Helen Hayes,1953,1977,1932,1947,1977,45,"76 years, 4 months",Actress
Rita Moreno,1977,1972,1962,1975,1977,15,"45 years, 9 months","Actress, singer"
John Gielgud,1991,1979,1982,1961,1991,29,"87 years, 4 months","Actor, director"
Audrey Hepburn,1993,1994,1954,1954,1994,40,"63 years, 8 months",Actress
Marvin Hamlisch,1995,1974,1974,1976,1995,21,"51 years, 3 months",Composer
Jonathan Tunick,1982,1988,1978,1997,1997,19,"59 years, 1 month","Orchestrator, music arranger, composer, conductor"
Mel Brooks,1967,1998,1969,2001,2001,34,"74 years, 11 months","Writer, songwriter, actor"
Mike Nichols,2001,1961,1968,1964,2001,40,"69 years, 11 months","Director, comedian"
Whoopi Goldberg,2002,1986,1991,2002,2002,16,"46 years, 6 months","Comedian, actress, host, producer"
Scott Rudin,1984,2012,2008,1994,2012,28,"53 years, 6 months",Producer
Robert Lopez,2008,2012,2014,2004,2014,10,39 years,"Songwriter, librettist"
Andrew Lloyd Webber,2018,1980,1997,1980,2018,38,"70 years, 5 months","Composer, producer"
Tim Rice,2018,1980,1993,1980,2018,38,"73 years, 9 months","Lyricist, librettist, producer"
John Legend,2018,2006,2015,2017,2018,12,"39 years, 8 months","Singer, composer, producer"
Alan Menken,2020,1991,1990,2012,2020,30,"70 years, 11 months","Composer, producer"
Jennifer Hudson,2021,2009,2007,2022,2022,15,"40 years, 9 months","Singer, actress, producer"
Viola Davis,2015,2023,2017,2001,2023,22,"57 years, 5 months",Actress
Elton John,2024,1987,1995,2000,2024,37,"76 years, 9 months","Singer, composer, pianist, producer"
